Year,Area,Main type of activity,Level of education,Population 31 Dec
1997,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7769
1997,MK13 Central Finland,Unemployed,Total,24169
1997,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,419
1997,MK14 South Ostrobothnia,Total,Total,203907
1997,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3985
1997,MK14 South Ostrobothnia,Employed,Total,75388
1997,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3381
1997,MK14 South Ostrobothnia,Unemployed,Total,13902
1997,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,98
1997,MK15 Ostrobothnia,Total,Total,168964
1997,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5607
1997,MK15 Ostrobothnia,Employed,Total,68438
1997,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4734
1997,MK15 Ostrobothnia,Unemployed,Total,9662
1997,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,138
1997,MK10 South Savo,Total,Total,160077
1997,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4025
1997,MK10 South Savo,Employed,Total,56265
1997,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3197
1997,MK10 South Savo,Unemployed,Total,14796
1997,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,124
1997,MK11 North Savo,Total,Total,264578
1997,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7830
1997,MK11 North Savo,Employed,Total,93349
1997,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6476
1997,MK11 North Savo,Unemployed,Total,23349
1997,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,233
1997,MK12 North Karelia,Total,Total,179977
1997,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5023
1997,MK12 North Karelia,Employed,Total,60104
1997,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3969
1997,MK12 North Karelia,Unemployed,Total,18471
1997,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,287
1997,MK16 Central Ostrobothnia,Total,Total,69021
1997,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1518
1997,MK16 Central Ostrobothnia,Employed,Total,25195
1997,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1303
1997,MK16 Central Ostrobothnia,Unemployed,Total,5397
1997,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,40
1997,MK17 North Ostrobothnia,Total,Total,367361
1997,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,12712
1997,MK17 North Ostrobothnia,Employed,Total,134292
1997,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,10804
1997,MK17 North Ostrobothnia,Unemployed,Total,30128
1997,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,467
1997,MK18 Kainuu,Total,Total,88896
1997,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2045
1997,MK18 Kainuu,Employed,Total,29126
1997,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1733
1997,MK18 Kainuu,Unemployed,Total,9748
1997,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,74
1997,MK19 Lapland,Total,Total,199051
1997,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4968
1997,MK19 Lapland,Employed,Total,67663
1997,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4159
1997,MK19 Lapland,Unemployed,Total,22745
1997,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,179
1997,MK21 Åland,Total,Total,25392
1997,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,678
1997,MK21 Åland,Employed,Total,12034
1997,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,546
1997,MK21 Åland,Unemployed,Total,561
1997,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,10
1998,MK01 Uusimaa,Total,Total,1362634
1998,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,107821
1998,MK01 Uusimaa,Employed,Total,651450
1998,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,85943
1998,MK01 Uusimaa,Unemployed,Total,71892
1998,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,3219
1998,MK02 Southwest Finland,Total,Total,443050
1998,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,20093
1998,MK02 Southwest Finland,Employed,Total,189900
1998,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,15853
1998,MK02 Southwest Finland,Unemployed,Total,28435
1998,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,777
1998,MK05 Kanta-Häme,Total,Total,164914
1998,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5320
1998,MK05 Kanta-Häme,Employed,Total,67490
1998,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4225
1998,MK05 Kanta-Häme,Unemployed,Total,11817
1998,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,130
1998,MK07 Päijät-Häme,Total,Total,205030
1998,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5485
1998,MK07 Päijät-Häme,Employed,Total,82058
1998,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4366
1998,MK07 Päijät-Häme,Unemployed,Total,17805
1998,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,137
1998,MK08 Kymenlaakso,Total,Total,182215
1998,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4832
1998,MK08 Kymenlaakso,Employed,Total,71430
1998,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3833
1998,MK08 Kymenlaakso,Unemployed,Total,14969
1998,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,122
1998,MK09 South Karelia,Total,Total,137238
1998,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3857
1998,MK09 South Karelia,Employed,Total,52092
1998,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3127
1998,MK09 South Karelia,Unemployed,Total,12239
1998,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,129
1998,MK04 Satakunta,Total,Total,235662
1998,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5992
1998,MK04 Satakunta,Employed,Total,91877
1998,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4947
1998,MK04 Satakunta,Unemployed,Total,19960
1998,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,172
1998,MK06 Pirkanmaa,Total,Total,448045
1998,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,19387
1998,MK06 Pirkanmaa,Employed,Total,184930
1998,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,15708
1998,MK06 Pirkanmaa,Unemployed,Total,33614
1998,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,755
1998,MK13 Central Finland,Total,Total,261754
1998,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10094
1998,MK13 Central Finland,Employed,Total,99187
1998,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8198
1998,MK13 Central Finland,Unemployed,Total,22908
1998,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,412
1998,MK14 South Ostrobothnia,Total,Total,202935
1998,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4179
1998,MK14 South Ostrobothnia,Employed,Total,78418
1998,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3562
1998,MK14 South Ostrobothnia,Unemployed,Total,12826
1998,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,92
1998,MK15 Ostrobothnia,Total,Total,168867
1998,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5871
1998,MK15 Ostrobothnia,Employed,Total,71110
1998,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4973
1998,MK15 Ostrobothnia,Unemployed,Total,8895
1998,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,168
1998,MK10 South Savo,Total,Total,158725
1998,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4134
1998,MK10 South Savo,Employed,Total,57888
1998,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3293
1998,MK10 South Savo,Unemployed,Total,13943
1998,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,122
1998,MK11 North Savo,Total,Total,262946
1998,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8090
1998,MK11 North Savo,Employed,Total,96295
1998,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6695
1998,MK11 North Savo,Unemployed,Total,21648
1998,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,227
1998,MK12 North Karelia,Total,Total,178441
1998,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5144
1998,MK12 North Karelia,Employed,Total,61608
1998,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4111
1998,MK12 North Karelia,Unemployed,Total,17564
1998,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,260
1998,MK16 Central Ostrobothnia,Total,Total,68773
1998,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1556
1998,MK16 Central Ostrobothnia,Employed,Total,26325
1998,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1344
1998,MK16 Central Ostrobothnia,Unemployed,Total,4889
1998,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,29
1998,MK17 North Ostrobothnia,Total,Total,368302
1998,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,13392
1998,MK17 North Ostrobothnia,Employed,Total,139045
1998,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,11431
1998,MK17 North Ostrobothnia,Unemployed,Total,29142
1998,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,492
1998,MK18 Kainuu,Total,Total,87843
1998,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2100
1998,MK18 Kainuu,Employed,Total,30114
1998,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1776
1998,MK18 Kainuu,Unemployed,Total,9397
1998,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,73
1998,MK19 Lapland,Total,Total,196647
1998,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5092
1998,MK19 Lapland,Employed,Total,68881
1998,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4244
1998,MK19 Lapland,Unemployed,Total,21767
1998,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,177
1998,MK21 Åland,Total,Total,25625
1998,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,713
1998,MK21 Åland,Employed,Total,12606
1998,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,581
1998,MK21 Åland,Unemployed,Total,407
1998,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,9
1999,MK01 Uusimaa,Total,Total,1379712
1999,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,113264
1999,MK01 Uusimaa,Employed,Total,673687
1999,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,90531
1999,MK01 Uusimaa,Unemployed,Total,65694
1999,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,3281
1999,MK02 Southwest Finland,Total,Total,445542
1999,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,21019
1999,MK02 Southwest Finland,Employed,Total,193145
1999,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,16585
1999,MK02 Southwest Finland,Unemployed,Total,27519
1999,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,850
1999,MK05 Kanta-Häme,Total,Total,165190
1999,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5515
1999,MK05 Kanta-Häme,Employed,Total,68534
1999,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4335
1999,MK05 Kanta-Häme,Unemployed,Total,11008
1999,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,128
1999,MK07 Päijät-Häme,Total,Total,204858
1999,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5677
1999,MK07 Päijät-Häme,Employed,Total,83493
1999,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4483
1999,MK07 Päijät-Häme,Unemployed,Total,16698
1999,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,143
1999,MK08 Kymenlaakso,Total,Total,181122
1999,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4879
1999,MK08 Kymenlaakso,Employed,Total,71722
1999,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3847
1999,MK08 Kymenlaakso,Unemployed,Total,14543
1999,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,134
1999,MK09 South Karelia,Total,Total,136525
1999,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3994
1999,MK09 South Karelia,Employed,Total,52392
1999,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3232
1999,MK09 South Karelia,Unemployed,Total,11506
1999,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,134
1999,MK04 Satakunta,Total,Total,234233
1999,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6161
1999,MK04 Satakunta,Employed,Total,91218
1999,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5085
1999,MK04 Satakunta,Unemployed,Total,19875
1999,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,169
1999,MK06 Pirkanmaa,Total,Total,450548
1999,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,20561
1999,MK06 Pirkanmaa,Employed,Total,188680
1999,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,16658
1999,MK06 Pirkanmaa,Unemployed,Total,32598
1999,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,834
1999,MK13 Central Finland,Total,Total,262106
1999,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10547
1999,MK13 Central Finland,Employed,Total,101367
1999,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8556
1999,MK13 Central Finland,Unemployed,Total,21783
1999,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,428
1999,MK14 South Ostrobothnia,Total,Total,202002
1999,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4339
1999,MK14 South Ostrobothnia,Employed,Total,78565
1999,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3704
1999,MK14 South Ostrobothnia,Unemployed,Total,12511
1999,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,97
1999,MK15 Ostrobothnia,Total,Total,168326
1999,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6038
1999,MK15 Ostrobothnia,Employed,Total,70908
1999,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5118
1999,MK15 Ostrobothnia,Unemployed,Total,9057
1999,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,162
1999,MK10 South Savo,Total,Total,157334
1999,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4231
1999,MK10 South Savo,Employed,Total,58117
1999,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3359
1999,MK10 South Savo,Unemployed,Total,12857
1999,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,126
1999,MK11 North Savo,Total,Total,261393
1999,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8323
1999,MK11 North Savo,Employed,Total,97191
1999,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6890
1999,MK11 North Savo,Unemployed,Total,20793
1999,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,229
1999,MK12 North Karelia,Total,Total,177238
1999,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5352
1999,MK12 North Karelia,Employed,Total,62675
1999,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4246
1999,MK12 North Karelia,Unemployed,Total,16248
1999,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,222
1999,MK16 Central Ostrobothnia,Total,Total,68345
1999,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1615
1999,MK16 Central Ostrobothnia,Employed,Total,26552
1999,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1398
1999,MK16 Central Ostrobothnia,Unemployed,Total,4713
1999,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,47
1999,MK17 North Ostrobothnia,Total,Total,369827
1999,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,14075
1999,MK17 North Ostrobothnia,Employed,Total,143432
1999,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,12015
1999,MK17 North Ostrobothnia,Unemployed,Total,26755
1999,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,512
1999,MK18 Kainuu,Total,Total,86943
1999,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2153
1999,MK18 Kainuu,Employed,Total,30132
1999,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1824
1999,MK18 Kainuu,Unemployed,Total,8912
1999,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,65
1999,MK19 Lapland,Total,Total,194352
1999,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5169
1999,MK19 Lapland,Employed,Total,69342
1999,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4327
1999,MK19 Lapland,Unemployed,Total,20203
1999,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,158
1999,MK21 Åland,Total,Total,25706
1999,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,758
1999,MK21 Åland,Employed,Total,12733
1999,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,616
1999,MK21 Åland,Unemployed,Total,313
1999,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,9
2000,MK01 Uusimaa,Total,Total,1394199
2000,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,118067
2000,MK01 Uusimaa,Employed,Total,696572
2000,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,95095
2000,MK01 Uusimaa,Unemployed,Total,56387
2000,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,2966
2000,MK02 Southwest Finland,Total,Total,447103
2000,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,21757
2000,MK02 Southwest Finland,Employed,Total,197908
2000,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,17230
2000,MK02 Southwest Finland,Unemployed,Total,23675
2000,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,770
2000,MK05 Kanta-Häme,Total,Total,165307
2000,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5700
2000,MK05 Kanta-Häme,Employed,Total,69799
2000,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4492
2000,MK05 Kanta-Häme,Unemployed,Total,9977
2000,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,118
2000,MK07 Päijät-Häme,Total,Total,204912
2000,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5874
2000,MK07 Päijät-Häme,Employed,Total,85609
2000,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4639
2000,MK07 Päijät-Häme,Unemployed,Total,15013
2000,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,149
2000,MK08 Kymenlaakso,Total,Total,179940
2000,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5045
2000,MK08 Kymenlaakso,Employed,Total,72286
2000,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3919
2000,MK08 Kymenlaakso,Unemployed,Total,13668
2000,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,162
2000,MK09 South Karelia,Total,Total,136299
2000,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4150
2000,MK09 South Karelia,Employed,Total,54156
2000,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3349
2000,MK09 South Karelia,Unemployed,Total,10027
2000,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,141
2000,MK04 Satakunta,Total,Total,232569
2000,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6314
2000,MK04 Satakunta,Employed,Total,93016
2000,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5191
2000,MK04 Satakunta,Unemployed,Total,17819
2000,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,175
2000,MK06 Pirkanmaa,Total,Total,453319
2000,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,21695
2000,MK06 Pirkanmaa,Employed,Total,194003
2000,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,17672
2000,MK06 Pirkanmaa,Unemployed,Total,29761
2000,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,825
2000,MK13 Central Finland,Total,Total,262710
2000,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11049
2000,MK13 Central Finland,Employed,Total,104371
2000,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8959
2000,MK13 Central Finland,Unemployed,Total,19740
2000,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,432
2000,MK14 South Ostrobothnia,Total,Total,200766
2000,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4431
2000,MK14 South Ostrobothnia,Employed,Total,80224
2000,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3763
2000,MK14 South Ostrobothnia,Unemployed,Total,10772
2000,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,101
2000,MK15 Ostrobothnia,Total,Total,168077
2000,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6259
2000,MK15 Ostrobothnia,Employed,Total,72700
2000,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5299
2000,MK15 Ostrobothnia,Unemployed,Total,7619
2000,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,142
2000,MK10 South Savo,Total,Total,156117
2000,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4361
2000,MK10 South Savo,Employed,Total,58129
2000,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3440
2000,MK10 South Savo,Unemployed,Total,12611
2000,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,123
2000,MK11 North Savo,Total,Total,259639
2000,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8598
2000,MK11 North Savo,Employed,Total,97612
2000,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7127
2000,MK11 North Savo,Unemployed,Total,19857
2000,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,201
2000,MK12 North Karelia,Total,Total,176187
2000,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5465
2000,MK12 North Karelia,Employed,Total,63639
2000,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4342
2000,MK12 North Karelia,Unemployed,Total,15020
2000,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,258
2000,MK16 Central Ostrobothnia,Total,Total,68052
2000,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1641
2000,MK16 Central Ostrobothnia,Employed,Total,26917
2000,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1406
2000,MK16 Central Ostrobothnia,Unemployed,Total,4440
2000,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,52
2000,MK17 North Ostrobothnia,Total,Total,372639
2000,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,14957
2000,MK17 North Ostrobothnia,Employed,Total,148942
2000,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,12846
2000,MK17 North Ostrobothnia,Unemployed,Total,24333
2000,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,478
2000,MK18 Kainuu,Total,Total,85736
2000,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2179
2000,MK18 Kainuu,Employed,Total,30222
2000,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1835
2000,MK18 Kainuu,Unemployed,Total,8587
