Year,Area,Main type of activity,Level of education,Population 31 Dec
1987,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,41
1987,MK12 North Karelia,Total,Total,182197
1987,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2959
1987,MK12 North Karelia,Employed,Total,75588
1987,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2604
1987,MK12 North Karelia,Unemployed,Total,8435
1987,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,25
1987,MK16 Central Ostrobothnia,Total,Total,67922
1987,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,872
1987,MK16 Central Ostrobothnia,Employed,Total,29618
1987,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,774
1987,MK16 Central Ostrobothnia,Unemployed,Total,1786
1987,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,4
1987,MK17 North Ostrobothnia,Total,Total,343600
1987,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7049
1987,MK17 North Ostrobothnia,Employed,Total,144525
1987,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6245
1987,MK17 North Ostrobothnia,Unemployed,Total,13240
1987,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,83
1987,MK18 Kainuu,Total,Total,93451
1987,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1390
1987,MK18 Kainuu,Employed,Total,37228
1987,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1249
1987,MK18 Kainuu,Unemployed,Total,5934
1987,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,14
1987,MK19 Lapland,Total,Total,200174
1987,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3241
1987,MK19 Lapland,Employed,Total,84690
1987,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2901
1987,MK19 Lapland,Unemployed,Total,12093
1987,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,44
1987,MK21 Åland,Total,Total,23761
1987,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,397
1987,MK21 Åland,Employed,Total,11874
1987,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,322
1987,MK21 Åland,Unemployed,Total,159
1987,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,0
1988,MK01 Uusimaa,Total,Total,1210941
1988,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,69408
1988,MK01 Uusimaa,Employed,Total,661540
1988,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,58379
1988,MK01 Uusimaa,Unemployed,Total,11885
1988,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,522
1988,MK02 Southwest Finland,Total,Total,421591
1988,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,12514
1988,MK02 Southwest Finland,Employed,Total,204273
1988,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,10296
1988,MK02 Southwest Finland,Unemployed,Total,8368
1988,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,171
1988,MK05 Kanta-Häme,Total,Total,159709
1988,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3547
1988,MK05 Kanta-Häme,Employed,Total,75942
1988,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2937
1988,MK05 Kanta-Häme,Unemployed,Total,3328
1988,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,23
1988,MK07 Päijät-Häme,Total,Total,203219
1988,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3754
1988,MK07 Päijät-Häme,Employed,Total,97024
1988,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3145
1988,MK07 Päijät-Häme,Unemployed,Total,4813
1988,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,36
1988,MK08 Kymenlaakso,Total,Total,186726
1988,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3439
1988,MK08 Kymenlaakso,Employed,Total,85182
1988,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2948
1988,MK08 Kymenlaakso,Unemployed,Total,6139
1988,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,21
1988,MK09 South Karelia,Total,Total,140448
1988,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2523
1988,MK09 South Karelia,Employed,Total,63984
1988,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2184
1988,MK09 South Karelia,Unemployed,Total,4532
1988,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,20
1988,MK04 Satakunta,Total,Total,241805
1988,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4092
1988,MK04 Satakunta,Employed,Total,108630
1988,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3558
1988,MK04 Satakunta,Unemployed,Total,8871
1988,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,39
1988,MK06 Pirkanmaa,Total,Total,426960
1988,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11145
1988,MK06 Pirkanmaa,Employed,Total,197799
1988,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,9501
1988,MK06 Pirkanmaa,Unemployed,Total,13978
1988,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,180
1988,MK13 Central Finland,Total,Total,251252
1988,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6106
1988,MK13 Central Finland,Employed,Total,112503
1988,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5246
1988,MK13 Central Finland,Unemployed,Total,7690
1988,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,82
1988,MK14 South Ostrobothnia,Total,Total,206237
1988,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2528
1988,MK14 South Ostrobothnia,Employed,Total,89954
1988,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2252
1988,MK14 South Ostrobothnia,Unemployed,Total,5474
1988,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,23
1988,MK15 Ostrobothnia,Total,Total,166639
1988,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3393
1988,MK15 Ostrobothnia,Employed,Total,77557
1988,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2917
1988,MK15 Ostrobothnia,Unemployed,Total,3326
1988,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,25
1988,MK10 South Savo,Total,Total,163173
1988,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2741
1988,MK10 South Savo,Employed,Total,72094
1988,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2311
1988,MK10 South Savo,Unemployed,Total,5814
1988,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,20
1988,MK11 North Savo,Total,Total,264094
1988,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5235
1988,MK11 North Savo,Employed,Total,114842
1988,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4467
1988,MK11 North Savo,Unemployed,Total,9259
